header,date,link,brief,tags
РЭЦ рассказал о потребностях бизнеса при выборе арбитражного института ,12:17 20.05.2025,https://ria.ru/20250520/rets-2018026660.html,РЭЦ представил анализ о потребностях бизнеса при выборе арбитражного института,"Экономика,Россия,Российский экспортный центр (РЭЦ)"
Россия нарастила поставки кукурузы в Китай в 90 раз в апреле ,11:42 20.05.2025,https://ria.ru/20250520/rossija-2018017812.html,Россия увеличила поставки кукурузы в Китай в 90 раз до 3 млн долларов в апреле,"Экономика,Китай,Россия,Австралия"
Компании из 10 регионов России представлены на выставке SIAL в Шанхае ,11:39 20.05.2025,https://ria.ru/20250520/vystavka-2018016561.html,Компании из 10 регионов России представлены на продвыставке SIAL в Шанхае,"Экономика,Россия,Шанхай,Российский экспортный центр (РЭЦ),Продукты"
"Набиуллина рассказала, откуда черпает силы ",11:33 20.05.2025,https://ria.ru/20250520/nabiullina-2018015106.html,"Набиуллина черпает силы в классической музыке, опере, ходьбе и плавании","Эльвира Набиуллина,Центральный Банк РФ (ЦБ РФ),Экономика,Общество"
Набиуллина оценила состояние российских компаний ,11:29 20.05.2025,https://ria.ru/20250520/kompanii-2018013794.html,Глава ЦБ Набиуллина назвала состояние большинства российских компаний устойчивым,"Экономика,Эльвира Набиуллина,Центральный Банк РФ (ЦБ РФ),Ключевая ставка"
Набиуллина: ИИ не может принимать решения по ключевой ставке ,11:20 20.05.2025,https://ria.ru/20250520/nabiullina-2018012413.html,Набиуллина: возможности ИИ в анализе ситуации с ключевой ставкой ограничены,"Россия,Центральный Банк РФ (ЦБ РФ),Альфа-банк,Эльвира Набиуллина,Владимир Верхошинский,Экономика"
Эксперт оценил экономические отношения России и Индонезии ,10:41 20.05.2025,https://ria.ru/20250520/indoneziya-2018005239.html,Ратам: экономические связи РФ и Индонезии находятся на лучшем уровне за 10 лет,"Экономика,Индонезия,Россия,Свердловская область,Прабово Субианто"
Глава Минвостока рассказал о возможных проектах России и США в Арктике ,10:37 20.05.2025,https://ria.ru/20250520/arktika-2018003886.html,Чекунков перечислил потенциальные сферы для сотрудничества РФ и США в Арктике,"Экономика,Россия,Арктика,США,Алексей Чекунков"
Россия потеряла статус крупнейшего покупателя китайских автомобилей ,10:29 20.05.2025,https://ria.ru/20250520/avtomobili-2018002456.html,Россия уступила Бразилии статус крупнейшего покупателя китайских легковых машин,"Экономика,Авто,Россия,Китай,Бразилия"
Минтранс рассказал о разработке законопроекта о беспилотном транспорте ,10:19 20.05.2025,https://ria.ru/20250520/transport-2018000662.html,Минтранс представит законопроект о беспилотном транспорте до конца года ,"Экономика,Технологии,Россия,Министерство транспорта РФ (Минтранс России)"
ФАС выявила картель на торгах по поставке мединструментов и материалов ,10:11 20.05.2025,https://ria.ru/20250520/kartel-2017999743.html,"ФАС выявила медицинский картель из трех компаний на сумму 1,2 миллиарда рублей","Россия,Федеральная антимонопольная служба (ФАС России),Экономика"
Бизнес получил более 300 тысяч региональных мер поддержки через МСП.РФ ,10:00 20.05.2025,https://ria.ru/20250520/biznes-2017948787.html,Более 300 тысяч региональных мер поддержки получили предприниматели через МСП.РФ,"Твой бизнес,Экономика,Твой бизнес – новости,Поддержка бизнеса,Корпорация МСП,Александр Исаевич"
Уходят под землю. Россия нашла способ защитить ресурсы ,08:00 20.05.2025,https://ria.ru/20250520/neft-2017917573.html,Первое в России подземное нефтехранилище готово к эксплуатации,"Экономика,Россия,Нефть,Цены на нефть"
Россия увеличила ввоз южнокорейских автомобилей до максимума за два года ,07:36 20.05.2025,https://ria.ru/20250520/rossija-2017981361.html,Россия в апреле импортировала авто из Южной Кореи на 90 миллионов долларов,"Экономика,Авто,Россия,Южная Корея,США"
"Юрист подсказал бизнесменам, как не дать иностранцам себя обмануть ",07:21 20.05.2025,https://ria.ru/20250520/jurist-2017981021.html,Юрист Янгулби: нужно тщательно проверять добросовестность зарубежных партнеров,"Экономика,Иран,Сирия,Ливан,Магомед Янгулби,Yang Consult"
Россия в марте 2025 года стала основным поставщиком огурцов в Польшу ,06:46 20.05.2025,https://ria.ru/20250520/ogurtsy-2017979403.html,None,"Экономика,Польша,Россия,Евростат,Евросоюз,Турция,Украина,Белоруссия,Импорт"
Россия нарастила спрос на южнокорейскую лапшу до исторического максимума ,05:43 20.05.2025,https://ria.ru/20250520/rossija-2017977476.html,"Россия в апреле ввезла из Южной Кореи лапши на рекордные 4,4 миллиона долларов","Экономика,Россия,Южная Корея,США"
