header,date,link
Путин назвал переход на отечественное ПО одним из главных вызовов ,"25.05.2025, 18:38",https://ria.ru/20250526/putin-2019181245.html
Путин поддержал идею запуска пилотных проектов по автоматизации производств ,"25.05.2025, 17:59",https://ria.ru/20250526/avtomatizatsiya-2019170115.html
РЭЦ рассказал об инструментах по выходу на зарубежные рынки ,"25.05.2025, 10:57",https://ria.ru/20250526/rets-2019061816.html
ВШЭ оценила потери бюджета из-за нелегальных кормов для животных ,"25.05.2025, 06:08",https://ria.ru/20250526/korm-2019037761.html
"В ""Ростехе"" рассказали о новых проектах в области роботизации производств ","25.05.2025, 12:25",https://ria.ru/20250525/rostehi-2018957142.html
Мишустин поздравил химиков с профессиональным праздником ,"25.05.2025, 11:19",https://ria.ru/20250525/mishustin-2018952303.html
В России продажи плюшевых монстров Лабубу выросли в 13 раз ,"25.05.2025, 09:21",https://ria.ru/20250525/prodazhi-2018941620.html
Эксперты рассказали о росте покупок коллекционных фигурок в России ,"24.05.2025, 23:43",https://ria.ru/20250524/rossiya-2018920892.html
В Госдуме высказались о проекте внедрения цифрового рубля в бюджет ,"24.05.2025, 14:56",https://ria.ru/20250524/gosduma-2018852686.html
"""БАС"" откроет сеть центров ремонта беспилотников в регионах к 2026 году ","23.05.2025, 02:38",https://ria.ru/20250523/bas-2018566216.html
СМИ: инвесторы хотят купить OnlyFans за восемь миллиардов долларов ,"23.05.2025, 00:54",https://ria.ru/20250523/onlyfans-2018561821.html
Путин обсудит с правительством механизмы поддержки инвестпроектов ,"22.05.2025, 00:30",https://ria.ru/20250522/putin-2018365884.html
Совфед распространил антиотмывочный закон на операции с цифровым рублем ,"21.05.2025, 15:12",https://ria.ru/20250521/rubl-2018266607.html
Поставки банкоматов в Россию из Китая выросли ,"21.05.2025, 05:22",https://ria.ru/20250521/bankomat-2018163265.html
Набиуллина: ИИ не может принимать решения по ключевой ставке ,"20.05.2025, 11:20",https://ria.ru/20250520/nabiullina-2018012413.html
Минтранс рассказал о разработке законопроекта о беспилотном транспорте ,"20.05.2025, 10:19",https://ria.ru/20250520/transport-2018000662.html
Бизнес получил более 300 тысяч региональных мер поддержки через МСП.РФ ,"20.05.2025, 10:00",https://ria.ru/20250520/biznes-2017948787.html
"Банки на Кубе могут начать выпускать карты ""Мир"" ","20.05.2025, 02:10",https://ria.ru/20250520/banki-2017968080.html
Intel анонсировала новые графические процессоры для ИИ ,"19.05.2025, 23:29",https://ria.ru/20250519/intel-2017957792.html
Мантуров заявил о росте производства компонентов для боеприпасов ,"17.05.2025, 15:09",https://ria.ru/20250517/rossiya-2017562998.html
В Сбербанке прокомментировали эксперимент по развитию исламского банкинга ,"17.05.2025, 08:15",https://ria.ru/20250517/sberbank-2017531816.html
"Эксперты рассказали, где можно обменять рубли за рубежом ","17.05.2025, 08:14",https://ria.ru/20250517/eksperty-2017531561.html
Минпромторг поддержал идею создать единый реестр оборудования для майнинга ,"17.05.2025, 07:03",https://ria.ru/20250517/mayning-2017528412.html
Вологодчина будет поставлять продукты деревообработки в Египет и Киргизию ,"16.05.2025, 22:14",https://ria.ru/20250516/eksport-2017506202.html
На HeliRussia обсудили интеграцию беспилотников в логистические процессы ,"16.05.2025, 19:00",https://ria.ru/20250516/eksperty-2017476446.html
Мошенники похитили у россиян почти семь миллиардов рублей за три месяца ,"16.05.2025, 15:09",https://ria.ru/20250516/moshenniki-2017387152.html
Доля поступлений в бюджет Москвы от сферы информационных технологий выросла ,"16.05.2025, 12:36",https://ria.ru/20250516/dolja-2017319347.html
Сбербанк рассказал о новых схемах мошенников ,"16.05.2025, 11:33",https://ria.ru/20250516/sberbank-2017305875.html
Колумбия присоединится к Новому банку развития БРИКС ,"16.05.2025, 11:08",https://ria.ru/20250516/petro-2017300139.html
