header,date,link,brief,tags
Россия и Сербия обсуждают долгосрочный договор на поставку газа ,14:31 18.05.2025,https://ria.ru/20250518/serbiya-2017687060.html,"Сербия договаривается с Россией о поставках 2,5 млрд кубометров газа в год","Экономика,Сербия,Россия,Газпром,Энергетика,Природный газ"
В ОАЭ рассказали о росте торговли с Россией ,13:22 18.05.2025,https://ria.ru/20250518/torgovlya-2017677109.html,"Салех: объем торговли между ОАЭ и РФ вырос за 5 лет с $3,5 млрд до $9,5 млрд","Международный экономический форум ""Россия — Исламский мир: KazanForum"",Экономика,ОАЭ,Россия,Казань,Абдалла Ахмед Аль Салех"
ЕС нарастил на треть продажи пива в Россию ,09:15 18.05.2025,https://ria.ru/20250518/pivo-2017655203.html,Евростат: Евросоюз нарастил поставки пива в Россию после четырех месяцев спада,"Экономика,Евросоюз,Россия,Пиво"
Исследование показало спрос на алкоголь в России в майские праздники ,08:52 18.05.2025,https://ria.ru/20250518/konturmarket-2017652359.html,"Контур.Маркет: в РФ в майские праздники покупали меньше алкоголя, чем в 2024 г","Экономика,Россия"
"Россия по праву гордится уникальными сортами своего винограда, заявил Титов ",02:02 18.05.2025,https://ria.ru/20250518/vinograd-2017638180.html,Титов: Россия по праву гордится уникальными сортами своего винограда,"Экономика,Россия,Европа,Борис Титов,Абрау-Дюрсо"
Роскачество предупредило о рисках разливных вин в курортных регионах ,22:17 17.05.2025,https://ria.ru/20250517/roskachestvo-2017625924.html,Роскачество: разливные вина в России могут быть не виноградного происхождения,"Экономика,Россия,Республика Крым,Роскачество,Министерство промышленности и торговли РФ (Минпромторг России),Министерство сельского хозяйства РФ (Минсельхоз России)"
Путин поручил уточнить программы поддержки бизнеса в Арктической зоне ,21:39 17.05.2025,https://ria.ru/20250517/putin-2017622500.html,Путин поручил уточнить параметры программ поддержки бизнеса в Арктической зоне,"Экономика,Россия,Мурманск,Владимир Путин"
"Онлайн-продажи на ярмарке ""Сделано в России"" за 6 часов превысили ₽1 млрд ",21:33 17.05.2025,https://ria.ru/20250517/yarmarka-2017621939.html,"В Китае за 6 часов приобрели продукцию на ₽1 млрд на ярмарке ""Сделано в России""","Экономика,Москва,Китай,Россия,Министерство промышленности и торговли РФ (Минпромторг России),Фонд ""Росконгресс"""
Путин поручил создать СП для перевозки грузов по Трансарктическому коридору ,21:16 17.05.2025,https://ria.ru/20250517/putin-2017619953.html,В России создадут СП с иностранцами для перевозок по Трансарктическому коридору,"Экономика,Россия,Мурманск,Владимир Путин"
Путин поручил рассмотреть вопрос о строительстве пассажирских ледовых судов ,20:56 17.05.2025,https://ria.ru/20250517/putin-2017617872.html,Путин поручил рассмотреть строительство судов для перевозки пассажиров в Арктике,"Россия,Мурманск,Владимир Путин,Арктика,Экономика"
Путин поручил подготовить предложения по безопасности судов ,20:28 17.05.2025,https://ria.ru/20250517/putin-2017614234.html,Путин ждет идей по развитию судостроительных мощностей для безопасности судов,"Россия,Мурманск,Владимир Путин,Экономика"
Путин дал поручения по развитию лесной промышленности ,19:44 17.05.2025,https://ria.ru/20250517/putin-2017607875.html,Путин дал правительству поручения по развитию лесной промышленности в России,"Экономика,Россия,Владимир Путин"
Путин поручил подумать над выращиванием генно-модифицированных деревьев ,18:56 17.05.2025,https://ria.ru/20250517/putin-2017602160.html,Путин поручил подумать над выращиванием генно-модифицированных деревьев в России,"Экономика,Россия,Владимир Путин"
Путин поручил расширить использование низкосортной древесины и пеллет ,18:54 17.05.2025,https://ria.ru/20250517/putin-2017601515.html,Путин поручил утвердить дорожную карту по расширению использования пеллет,"Экономика,ЖКХ,Россия,Владимир Путин,МЧС России (Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий),Федеральная служба исполнения наказаний (ФСИН России),Федеральная служба войск национальной гвардии РФ (Росгвардия)"
Путин поручил повысить приоритет перевозок продукции лесной промышленности ,18:48 17.05.2025,https://ria.ru/20250517/putin-2017599418.html,Путин поручил представить предложения по повышению приоритета перевозок леспрома,"Экономика,Россия,Архангельская область,Владимир Путин,Михаил Мишустин,Олег Белозеров,РЖД"
Путин поручил включить спорторганизации в перечень для налогового вычета ,18:33 17.05.2025,https://ria.ru/20250517/putin-2017596575.html,Путин поручил включить спорторганизации в список компаний для налогового вычета,"Владимир Путин,Экономика,Спорт"
Путин поручил увеличить мощности терминалов Мурманского узла ,18:22 17.05.2025,https://ria.ru/20250517/putin-2017594865.html,Путин поручил представить предложения по увеличению терминалов Мурманского узла,"Экономика,Россия,Мурманск,Владимир Путин,Михаил Мишустин"
Путин поручил ускорить актуализацию Стратегии развития лесного комплекса ,18:08 17.05.2025,https://ria.ru/20250517/putin-2017593395.html,Путин поручил ускорить актуализацию Стратегии развития лесного комплекса России,"Россия,Владимир Путин,Экономика,Правительство РФ"
Путин дал новые поручения по развитию Арктической зоны ,17:41 17.05.2025,https://ria.ru/20250517/arktika-2017587498.html,None,"Мурманск,Воркута,Владимир Путин,Экономика,Обь,Арктика"
"ЦБ попытался досудебно урегулировать вопрос с выплатами купонов по ""Борцу"" ",17:37 17.05.2025,https://ria.ru/20250517/tsb-2017586992.html,"ЦБ попытался досудебно урегулировать вопрос выплат по облигациям ""Борец Капитал""","Экономика,Россия,Калининградская область,Генеральная прокуратура РФ,Московская биржа,Национальный расчетный депозитарий (НРД)"
Путин поручил разработать модели формирования Трансарктического коридора ,17:35 17.05.2025,https://ria.ru/20250517/putin-2017586738.html,Путин поручил разработать модели формирования трансарктического коридора,"Владимир Путин,Арктика,Экономика,Россия,Мурманск,Санкт-Петербург,Михаил Мишустин,Алексей Лихачев,Государственная корпорация по атомной энергии ""Росатом"",Объединенная судостроительная корпорация"
Путин дал поручения по срокам строительства газопровода Волхов — Мурманск ,17:29 17.05.2025,https://ria.ru/20250517/gazoprovod-2017585567.html,Путин поручил завершить строительство газопровода Волхов — Мурманск до 2030 года,"Газпром,Владимир Путин,Экономика,Мурманск,Волхов,Мурманская область,Леонид Михельсон,Министерство энергетики РФ (Минэнерго России),Новатэк"
