header,date,link,brief,tags
Анти-Мюнхен: в Москве собираются 120 секретарей Совбезов ,13:44 26.05.2025,https://ria.ru/20250526/myunkhen-2019098498.html,None,"Аналитика,В мире,Россия,Владимир Путин,США,НАТО"
"Россия и США разберутся в отношениях без посредников, заявил Климов ",15:03 26.05.2025,https://ria.ru/20250526/otnosheniya-2019116773.html,Сенатор Климов: лидеры РФ и США разберутся в своих отношениях без посредников,"Россия,Германия,Украина,Владимир Путин,Дональд Трамп,Андрей Климов,Совет Федерации РФ,В мире"
Депутат ЕП: санкции против России привели к рецессии в европейских странах ,14:58 26.05.2025,https://ria.ru/20250526/sanktsii-2019115703.html,Картхайзер: санкции ЕС против РФ не достигли своей цели,"Россия,Западная Европа,Люксембург (округ),Леонид Слуцкий (политик),Европарламент,Госдума РФ,В мире,Санкции в отношении России"
Патрушев высказался об увеличении угроз со стороны НАТО ,14:57 26.05.2025,https://ria.ru/20250526/nato-2019114989.html,Патрушев: угрозы со стороны НАТО стремительно нарастают,"Россия,Усть-Луга,Балтийское море,Николай Патрушев,Владимир Путин,НАТО,В мире"
Яковенко назвал встречу по безопасности в Москве беспрецедентным событием ,14:54 26.05.2025,https://ria.ru/20250526/vstrecha-2019113932.html,Яковенко: встреча по безопасности в РФ станет событием с долгосрочным влиянием,"Россия,Москва,Казань,Александр Яковенко,Сергей Шойгу,БРИКС,СНГ,ОДКБ,В мире"
Французский журналист призвал прекратить поставлять оружие Киеву ,14:53 26.05.2025,https://ria.ru/20250526/ukraina-2019113725.html,Журналист Пенгам призвал Францию прекратить поставлять оружие Киеву,"Специальная военная операция на Украине,В мире,Франция,Россия,Донбасс"
"Германия сняла ограничения по дальности с оружия, передаваемого Украине ",14:47 26.05.2025,https://ria.ru/20250526/merts-2019112683.html,"Мерц: Британия, Франция, ФРГ и США сняли ограничения с военных поставок Украине","В мире,Франция,Германия,США,Мария Захарова,Борис Писториус,Фридрих Мерц,Украина,Россия,НАТО"
Трое обвиняемых по делу об отравлении Паперной не признали вину ,14:44 26.05.2025,https://ria.ru/20250526/vina-2019111644.html,Трое обвиняемых по делу об отравлении Паперной в Ташкенте не признали вину,"Ташкент,Узбекистан,В мире"
Пленные боевики ВСУ рассказали о заминированных учебных лагерях ,14:36 26.05.2025,https://ria.ru/20250526/ukraina-2019108804.html,"Пленные украинские боевики рассказали, как ВСУ борется с дезертирами","Специальная военная операция на Украине,В мире,Вооруженные силы Украины,Воздушно-десантные войска России"
"""Ад впереди"". В США сделали пугающий прогноз о будущем Украины ",14:33 26.05.2025,https://ria.ru/20250526/ukraina-2019108372.html,Экс-офицер разведки США Иисиба: Украину охватит масштабная коррупция,"В мире,Украина"
В Казахстане ликвидировали нарколабораторию по производству мефедрона ,14:29 26.05.2025,https://ria.ru/20250526/mvd-2019107270.html,МВД Казахстана: в Карагандинской области ликвидировали нарколабораторию,"Карагандинская область,Алма-Атинская область,Казахстан,В мире"
Вице спикер парламента Сербии назвал Украину примером ревизии истории ,14:25 26.05.2025,https://ria.ru/20250526/ukraina-2019106534.html,Янич назвал снос памятников на Украине четким примером ревизии истории,"В мире,Сербия,Россия,Украина,Степан Бандера,Александр Боцан-Харченко,СНГ"
Напавших на посольство России в Швеции до сих пор не нашли ,14:06 26.05.2025,https://ria.ru/20250526/rossiya-2019103397.html,МИД: нападавших на посольство России в Швеции до сих пор не нашли,"В мире,Россия,Швеция,Мария Захарова"
"Киеву придется отказаться от неподконтрольных территорий, заявили в Раде ",14:03 26.05.2025,https://ria.ru/20250526/vsu-2019102613.html,Депутат Рады Тарасенко: Киеву придется отказаться от неподконтрольных земель,"Специальная военная операция на Украине,Украина,Россия,Республика Крым,Владимир Путин,Лана Зеркаль,Вооруженные силы Украины,Верховная Рада Украины,ООН,В мире"
В посольстве России в Швеции рассказали о налетах дронов ,13:57 26.05.2025,https://ria.ru/20250526/shvetsiya-2019100981.html,Посольство РФ в Швеции подверглось 11 налетам дронов с мая 2024 года,"В мире,Россия,Швеция,Мария Захарова"
"Государственный долг Украины вырос на пять процентов, заявил депутат Рады ",13:55 26.05.2025,https://ria.ru/20250526/dolg-2019100088.html,"Гетманцев: госдолг Украины в апреле вырос на 5%, достигнув 180 млрд долларов","Украина,Киев,Даниил Гетманцев,Владимир Зеленский,Верховная Рада Украины,МВФ,В мире"
"""Как ни в чем ни бывало"". Пушков высмеял поведение Макрона после пощечины  ",13:54 26.05.2025,https://ria.ru/20250526/makron-2019099953.html,Пушков высмеял поведение Эмманюэля Макрона после скандала с пощечиной,"Совет Федерации РФ,Алексей Пушков,Вьетнам,В мире"
WP узнала о планах ФРГ передать ВСУ старые образцы ракет для ПВО Patriot ,13:52 26.05.2025,https://ria.ru/20250526/patriot-2019099549.html,WP: Германия хочет передать Украине менее эффективные ракеты для ПВО Patriot,"Специальная военная операция на Украине,В мире,Украина,Германия,Россия,Сергей Лавров,НАТО"
Партия Симиона планирует бойкотировать формирование нового правительства ,13:49 26.05.2025,https://ria.ru/20250526/partija-2019099154.html,"Партия AUR намерена бойкотировать формирование правительства, одобренного Даном","В мире,Румыния,Никушор Дан,Президентские выборы в Румынии — 2025"
Елисейский дворец подтвердил подлинность видео с пощечиной Макрону ,13:44 26.05.2025,https://ria.ru/20250526/video-2019098718.html,Елисейский дворец прокомментировал инцидент с пощечиной Макрону от жены,"Эммануэль Макрон,Брижит Макрон,В мире,Франция,Вьетнам"
